City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
303,cape coast,30.0,GH,1665343700.0,88.0,5.1053,-1.2466,77.61,7.65
304,klaksvik,83.0,FO,1665343700.0,82.0,62.2266,-6.589,47.32,38.1
305,camacha,20.0,PT,1665343701.0,68.0,33.0833,-16.3333,67.42,10.36
306,tura,34.0,IN,1665343701.0,96.0,25.5198,90.2201,72.21,3.58
307,rantauprapat,100.0,ID,1665343701.0,98.0,2.1,99.8333,73.29,1.48
308,sheltozero,100.0,RU,1665343702.0,67.0,61.3667,35.3667,45.54,12.5
309,dingle,100.0,PH,1665343702.0,90.0,10.9995,122.6711,75.81,4.43
310,imeni poliny osipenko,7.0,RU,1665343703.0,85.0,52.4201,136.4853,30.51,3.13
311,coquimbo,40.0,CL,1665343703.0,72.0,-29.9533,-71.3436,60.53,14.97
312,camapua,100.0,BR,1665343703.0,80.0,-19.5314,-54.0439,73.72,7.94
